262144	1	41.32
262144	2	41.32
262144	4	39.254
262144	8	39.254
262144	16	39.254
262144	32	41.32
262144	64	37.3848
262144	128	39.254
262144	256	41.32
262144	512	39.254
262144	1024	39.254
524288	1	82.64
524288	2	82.64
524288	4	78.508
524288	8	82.64
524288	16	78.508
524288	32	82.64
524288	64	78.508
524288	128	78.508
524288	256	78.508
524288	512	78.508
524288	1024	78.508
786432	1	123.96
786432	2	117.762
786432	4	117.762
786432	8	112.154
786432	16	117.762
786432	32	112.154
786432	64	112.154
786432	128	112.154
786432	256	117.762
786432	512	117.762
786432	1024	117.762
1048576	1	149.539
1048576	2	157.016
1048576	4	165.28
1048576	8	157.016
1048576	16	157.016
1048576	32	157.016
1048576	64	157.016
1048576	128	165.28
1048576	256	165.28
1048576	512	157.016
1048576	1024	108.287
1310720	1	206.6
1310720	2	196.27
1310720	4	186.924
1310720	8	186.924
1310720	16	196.27
1310720	32	196.27
1310720	64	196.27
1310720	128	206.6
1310720	256	186.924
1310720	512	196.27
1310720	1024	196.27
1572864	1	235.524
1572864	2	224.309
1572864	4	162.43
1572864	8	247.92
1572864	16	214.113
1572864	32	224.309
1572864	64	224.309
1572864	128	247.92
1572864	256	247.92
1572864	512	235.524
1572864	1024	235.524
1835008	1	274.778
1835008	2	274.778
1835008	4	274.778
1835008	8	274.778
1835008	16	274.778
1835008	32	274.778
1835008	64	274.778
1835008	128	274.778
1835008	256	261.693
1835008	512	261.693
1835008	1024	274.778
2097152	1	314.032
2097152	2	314.032
2097152	4	299.078
2097152	8	330.56
2097152	16	299.078
2097152	32	330.56
2097152	64	314.032
2097152	128	330.56
2097152	256	299.078
2097152	512	299.078
2097152	1024	330.56
2359296	1	371.88
2359296	2	371.88
2359296	4	353.286
2359296	8	353.286
2359296	16	336.463
2359296	32	353.286
2359296	64	307.205
2359296	128	336.463
2359296	256	353.286
2359296	512	336.463
2359296	1024	353.286
2621440	1	392.54
2621440	2	373.848
2621440	4	392.54
2621440	8	392.54
2621440	16	373.848
2621440	32	392.54
2621440	64	373.848
2621440	128	280.386
2621440	256	392.54
2621440	512	392.54
2621440	1024	373.848
2883584	1	431.794
2883584	2	411.232
2883584	4	411.232
2883584	8	411.232
2883584	16	431.794
2883584	32	431.794
2883584	64	411.232
2883584	128	431.794
2883584	256	431.794
2883584	512	454.52
2883584	1024	454.52
